St1,St_1,St2,St_2,City,Zip,Long,Lat
DURDEN PKWY ((CAPE CORAL-CAPE CORAL)),DURDEN PKWY,NE 10TH CT ((CAPE CORAL-CAPE CORAL)),NE 10TH CT,CAPE CORAL,33909,-81.951096297399999,26.741083624100000
DURDEN PKWY ((CAPE CORAL-CAPE CORAL)),DURDEN PKWY,NE 11TH PL ((CAPE CORAL-CAPE CORAL)),NE 11TH PL,CAPE CORAL,33909,-81.950146223499999,26.741072785499998
DURDEN PKWY ((CAPE CORAL-CAPE CORAL)),DURDEN PKWY,NE 14TH AVE ((CAPE CORAL-CAPE CORAL)),NE 14TH AVE,CAPE CORAL,33909,-81.944457586799999,26.740808936600001
DURDEN PKWY ((CAPE CORAL-CAPE CORAL)),DURDEN PKWY,NE 14TH PL ((CAPE CORAL-CAPE CORAL)),NE 14TH PL,CAPE CORAL,33909,-81.943122414000001,26.740728167699999
DURDEN PKWY ((CAPE CORAL-CAPE CORAL)),DURDEN PKWY,NE 15TH AVE ((CAPE CORAL-CAPE CORAL)),NE 15TH AVE,CAPE CORAL,33909,-81.942176623899996,26.740670471100000
DURDEN PKWY ((CAPE CORAL-CAPE CORAL)),DURDEN PKWY,NE 15TH PL ((CAPE CORAL-CAPE CORAL)),NE 15TH PL,CAPE CORAL,33909,-81.941224218100004,26.740602851500000
DURDEN PKWY ((CAPE CORAL-CAPE CORAL)),DURDEN PKWY,NE 20TH PL ((CAPE CORAL-CAPE CORAL)),NE 20TH PL,NORTH FORT MYERS,33903,-81.935241102199996,26.740441083099999
DURDEN PKWY ((CAPE CORAL-CAPE CORAL)),DURDEN PKWY,NE 21ST AVE ((CAPE CORAL-CAPE CORAL)),NE 21ST AVE,NORTH FORT MYERS,33903,-81.934036030300007,26.740412059299999
DURDEN PKWY ((CAPE CORAL-CAPE CORAL)),DURDEN PKWY,NE 21ST CT ((CAPE CORAL-CAPE CORAL)),NE 21ST CT,NORTH FORT MYERS,33903,-81.932135762800002,26.740379933300002
DURDEN PKWY ((CAPE CORAL-CAPE CORAL)),DURDEN PKWY,NE 21ST PL ((CAPE CORAL-CAPE CORAL)),NE 21ST PL,NORTH FORT MYERS,33903,-81.933094123700002,26.740395672100000
DURDEN PKWY ((CAPE CORAL-CAPE CORAL)),DURDEN PKWY,NE 22ND AVE ((CAPE CORAL-CAPE CORAL)),NE 22ND AVE,NORTH FORT MYERS,33903,-81.931190998399998,26.740399346699999
DURDEN PKWY ((CAPE CORAL-CAPE CORAL)),DURDEN PKWY,NE 22ND CT ((CAPE CORAL-CAPE CORAL)),NE 22ND CT,NORTH FORT MYERS,33903,-81.929042716200001,26.740453309700001
DURDEN PKWY ((CAPE CORAL-CAPE CORAL)),DURDEN PKWY,NE 22ND PL ((CAPE CORAL-CAPE CORAL)),NE 22ND PL,NORTH FORT MYERS,33903,-81.929995143400006,26.740430857300002
DURDEN PKWY ((CAPE CORAL-CAPE CORAL)),DURDEN PKWY,NE 9TH CT ((CAPE CORAL-CAPE CORAL)),NE 9TH CT,CAPE CORAL,33909,-81.953581600299998,26.741104519299999
DURDEN PKWY ((CAPE CORAL-CAPE CORAL)),DURDEN PKWY,RAMSEY BLVD ((CAPE CORAL-CAPE CORAL)),RAMSEY BLVD,NORTH FORT MYERS,33903,-81.940147355700006,26.740543632900000
DURDEN PKWY ((CAPE CORAL-CAPE CORAL)),DURDEN PKWY,RAMSEY BLVD ((CAPE CORAL-CAPE CORAL)),RAMSEY BLVD,CAPE CORAL,33909,-81.940267003900004,26.740541705799998
DURDEN PKWY W ((CAPE CORAL-CAPE CORAL)),DURDEN PKWY W,NW 34TH AVE ((CAPE CORAL-CAPE CORAL)),NW 34TH AVE,CAPE CORAL,33993,-82.043617279100005,26.741065906799999
DURDEN PKWY W ((CAPE CORAL-CAPE CORAL)),DURDEN PKWY W,NW 34TH PL ((CAPE CORAL-CAPE CORAL)),NW 34TH PL,CAPE CORAL,33993,-82.044640286900005,26.741072900300001
DURDEN PKWY W ((CAPE CORAL-CAPE CORAL)),DURDEN PKWY W,NW 35TH AVE ((CAPE CORAL-CAPE CORAL)),NW 35TH AVE,CAPE CORAL,33993,-82.045597207000000,26.741086858500001
DURDEN PKWY W ((CAPE CORAL-CAPE CORAL)),DURDEN PKWY W,NW 35TH PL ((CAPE CORAL-CAPE CORAL)),NW 35TH PL,CAPE CORAL,33993,-82.046554211699998,26.741100901399999
DURDEN PKWY W ((CAPE CORAL-CAPE CORAL)),DURDEN PKWY W,NW 36TH AVE ((CAPE CORAL-CAPE CORAL)),NW 36TH AVE,CAPE CORAL,33993,-82.047724241699996,26.741110893100000
DURDEN PKWY W ((CAPE CORAL-CAPE CORAL)),DURDEN PKWY W,NW 36TH PL ((CAPE CORAL-CAPE CORAL)),NW 36TH PL,CAPE CORAL,33993,-82.048669218800001,26.741117883800001
DURDEN PKWY W ((CAPE CORAL-CAPE CORAL)),DURDEN PKWY W,NW 37TH AVE ((CAPE CORAL-CAPE CORAL)),NW 37TH AVE,CAPE CORAL,33993,-82.049614082999994,26.741135571099999
DURDEN PKWY W ((CAPE CORAL-CAPE CORAL)),DURDEN PKWY W,NW 38TH AVE ((CAPE CORAL-CAPE CORAL)),NW 38TH AVE,CAPE CORAL,33993,-82.050568220900004,26.741145926100000
DURDEN PKWY W ((CAPE CORAL-CAPE CORAL)),DURDEN PKWY W,NW 38TH PL ((CAPE CORAL-CAPE CORAL)),NW 38TH PL,CAPE CORAL,33993,-82.051509222700005,26.741159850100001
DURDEN PKWY W ((CAPE CORAL-CAPE CORAL)),DURDEN PKWY W,NW 39TH AVE ((CAPE CORAL-CAPE CORAL)),NW 39TH AVE,CAPE CORAL,33993,-82.052476261899997,26.741174932500002
DURDEN PKWY W ((CAPE CORAL-CAPE CORAL)),DURDEN PKWY W,OLD BURNT STORE RD N ((CAPE CORAL-CAPE CORAL)),OLD BURNT STORE RD N,CAPE CORAL,33993,-82.054891047599995,26.741192888800001
DURHAM AVE ((FORT MYERS-FORT MYERS)),DURHAM AVE,OLD SOUTH WAY ((FORT MYERS-FORT MYERS)),OLD SOUTH WAY,FORT MYERS,33908,-81.929420947500006,26.505188924199999
DURHAM AVE ((FORT MYERS-FORT MYERS)),DURHAM AVE,WINCHESTER CT ((FORT MYERS-FORT MYERS)),WINCHESTER CT,FORT MYERS,33908,-81.928422216300007,26.502319839399998
DURION CT ((SANIBEL-SANIBEL)),DURION CT,EAST ROCKS DR ((SANIBEL-SANIBEL)),EAST ROCKS DR,SANIBEL,33957,-82.113447280599999,26.435411839800000
DURLAND AVE ((LEHIGH ACRES-LEHIGH ACRES)),DURLAND AVE,MEDFORD PL ((LEHIGH ACRES-LEHIGH ACRES)),MEDFORD PL,LEHIGH ACRES,33936,-81.661122152399997,26.605931864399999
DURLAND AVE ((LEHIGH ACRES-LEHIGH ACRES)),DURLAND AVE,ROWLAND RD ((LEHIGH ACRES-LEHIGH ACRES)),ROWLAND RD,LEHIGH ACRES,33936,-81.659326626899997,26.603969332900000
DURRANCE CT ((BOKEELIA-BOKEELIA)),DURRANCE CT,DURRANCE RD ((BOKEELIA-BOKEELIA)),DURRANCE RD,BOKEELIA, ,-82.131785268800002,26.650606449200001
DURRANCE RD ((NORTH FORT MYERS-NORTH FORT MYERS)),DURRANCE RD,RAMBO LN ((NORTH FORT MYERS-NORTH FORT MYERS)),RAMBO LN,NORTH FORT MYERS,33917,-81.793411258700004,26.726860075099999
DURRANCE RD ((NORTH FORT MYERS-NORTH FORT MYERS)),DURRANCE RD,SKIS RD ((NORTH FORT MYERS-NORTH FORT MYERS)),SKIS RD,NORTH FORT MYERS,33917,-81.791429186100004,26.740616930500000
DURRANCE RD ((NORTH FORT MYERS-NORTH FORT MYERS)),DURRANCE RD,W BAHIA VISTA ((NORTH FORT MYERS-NORTH FORT MYERS)),W BAHIA VISTA,NORTH FORT MYERS,33917,-81.793405468299994,26.721425461999999
DUSKWAVE DR ((CAPE CORAL-CAPE CORAL)),DUSKWAVE DR,HARBORLIGHT CT ((CAPE CORAL-CAPE CORAL)),HARBORLIGHT CT,CAPE CORAL,33993,-82.018219386200002,26.722459711700001
DUSKWAVE DR ((CAPE CORAL-CAPE CORAL)),DUSKWAVE DR,HARBORWAKE RD ((CAPE CORAL-CAPE CORAL)),HARBORWAKE RD,CAPE CORAL,33993,-82.021938165300000,26.721332231400002
DUSKWAVE DR ((CAPE CORAL-CAPE CORAL)),DUSKWAVE DR,STAR FARMS BLVD ((CAPE CORAL-CAPE CORAL)),STAR FARMS BLVD,CAPE CORAL,33993,-82.024447558899993,26.724881998299999
DUSTY LN ((ESTERO-ESTERO)),DUSTY LN,SIX LS FARM RD ((ESTERO-ESTERO)),SIX LS FARM RD,ESTERO,33928,-81.659300503699995,26.421218216700002
DUSTY RD ((FORT MYERS-FORT MYERS)),DUSTY RD,GREEN ACRE LN ((FORT MYERS-FORT MYERS)),GREEN ACRE LN,FORT MYERS,33912,-81.838199206799999,26.505065853800001
DUSTY RD ((FORT MYERS-FORT MYERS)),DUSTY RD,SHALOM LN ((FORT MYERS-FORT MYERS)),SHALOM LN,FORT MYERS,33912,-81.838178115500000,26.501171282200001
DUSTY TRL ((FORT MYERS-FORT MYERS)),DUSTY TRL,PALM BEACH BLVD ((FORT MYERS-FORT MYERS)),PALM BEACH BLVD,FORT MYERS,33905,-81.770836490799994,26.698206066699999
DUTCH IRIS LN ((LEHIGH ACRES-LEHIGH ACRES)),DUTCH IRIS LN,HEATH ASTER LN ((LEHIGH ACRES-LEHIGH ACRES)),HEATH ASTER LN,LEHIGH ACRES,33936,-81.638618137199998,26.593725849399998
DUTCHESS PARK RD ((FORT MYERS-FORT MYERS)),DUTCHESS PARK RD,ROYAL GARDENS AVE ((FORT MYERS-FORT MYERS)),ROYAL GARDENS AVE,FORT MYERS,33916,-81.833009552899995,26.616641006399998
DUTCHESS ST E ((LEHIGH ACRES-LEHIGH ACRES)),DUTCHESS ST E,GENOA AVE S ((LEHIGH ACRES-LEHIGH ACRES)),GENOA AVE S,LEHIGH ACRES,33974,-81.579308119499998,26.525585877499999
DUTCHESS ST E ((LEHIGH ACRES-LEHIGH ACRES)),DUTCHESS ST E,HOYT AVE S ((LEHIGH ACRES-LEHIGH ACRES)),HOYT AVE S,LEHIGH ACRES,33974,-81.576182486299999,26.525629725600002
DUVERNAY DR ((BONITA SPRINGS-BONITA SPRINGS)),DUVERNAY DR,RUE VIAUV AVE ((BONITA SPRINGS-BONITA SPRINGS)),RUE VIAUV AVE,BONITA SPRINGS,34135,-81.757241112700001,26.339134776800002
DUVERNAY DR ((BONITA SPRINGS-BONITA SPRINGS)),DUVERNAY DR,VALOIS DR ((BONITA SPRINGS-BONITA SPRINGS)),VALOIS DR,BONITA SPRINGS,34135,-81.755259155299996,26.341182825200001
DUVERNAY DR ((BONITA SPRINGS-BONITA SPRINGS)),DUVERNAY DR,VALOIS DR ((BONITA SPRINGS-BONITA SPRINGS)),VALOIS DR,BONITA SPRINGS,34135,-81.756235142500003,26.339153486800001
DWARF GINSENG DR ((FORT MYERS-FORT MYERS)),DWARF GINSENG DR,FIDDLER CRAB LN ((FORT MYERS-FORT MYERS)),FIDDLER CRAB LN,FORT MYERS,33908,-81.946904486400001,26.503715476299998
DWARF GINSENG DR ((FORT MYERS-FORT MYERS)),DWARF GINSENG DR,MAINTENANCE LN ((FORT MYERS-FORT MYERS)),MAINTENANCE LN,FORT MYERS,33908,-81.947506433100003,26.503727291299999
DYKE AVE ((NORTH FORT MYERS-NORTH FORT MYERS)),DYKE AVE,EMDEN ST ((NORTH FORT MYERS-NORTH FORT MYERS)),EMDEN ST,NORTH FORT MYERS,33903,-81.903454219200000,26.699361855799999
DYKE AVE ((NORTH FORT MYERS-NORTH FORT MYERS)),DYKE AVE,TULIP TER ((NORTH FORT MYERS-NORTH FORT MYERS)),TULIP TER,NORTH FORT MYERS,33903,-81.904025236400003,26.699288852500001
DYKES RD ((ESTERO-ESTERO)),DYKES RD,SIX LS FARM RD ((ESTERO-ESTERO)),SIX LS FARM RD,ESTERO,33928,-81.659545104800003,26.428515804900002
DYNASTY DR ((FORT MYERS-FORT MYERS)),DYNASTY DR,FORUM BLVD ((FORT MYERS-FORT MYERS)),FORUM BLVD,FORT MYERS,33905,-81.796871778400003,26.615830857900001
DYNASTY DR ((FORT MYERS-FORT MYERS)),DYNASTY DR,FORUM BLVD ((FORT MYERS-FORT MYERS)),FORUM BLVD,FORT MYERS,33905,-81.797952577499998,26.615564801100000
E 10TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 10TH ST,EDWARD AVE ((LEHIGH ACRES-LEHIGH ACRES)),EDWARD AVE,LEHIGH ACRES,33936,-81.597529444399996,26.636216898499999
E 10TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 10TH ST,EIGHTH AVE ((LEHIGH ACRES-LEHIGH ACRES)),EIGHTH AVE,LEHIGH ACRES,33972,-81.619636173399996,26.635859036999999
E 10TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 10TH ST,FIFTH AVE ((LEHIGH ACRES-LEHIGH ACRES)),FIFTH AVE,LEHIGH ACRES,33972,-81.623929464200003,26.635776689499998
E 10TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 10TH ST,FITCH AVE ((LEHIGH ACRES-LEHIGH ACRES)),FITCH AVE,LEHIGH ACRES,33972,-81.567479579899995,26.636332939700001
E 10TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 10TH ST,GERALD AVE ((LEHIGH ACRES-LEHIGH ACRES)),GERALD AVE,LEHIGH ACRES,33936,-81.599602644900003,26.636198297200000
E 10TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 10TH ST,GLENN AVE ((LEHIGH ACRES-LEHIGH ACRES)),GLENN AVE,LEHIGH ACRES,33972,-81.605322368299994,26.636106536200000
E 10TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 10TH ST,GRANT AVE ((LEHIGH ACRES-LEHIGH ACRES)),GRANT AVE,LEHIGH ACRES,33972,-81.583220654499996,26.636266687500001
E 10TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 10TH ST,GREENWOOD AVE ((LEHIGH ACRES-LEHIGH ACRES)),GREENWOOD AVE,LEHIGH ACRES,33972,-81.621062292800005,26.635829832300001
E 10TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 10TH ST,HAMILTON AVE ((LEHIGH ACRES-LEHIGH ACRES)),HAMILTON AVE,LEHIGH ACRES,33972,-81.588939136899995,26.636256903000000
E 10TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 10TH ST,HIGHLAND AVE ((LEHIGH ACRES-LEHIGH ACRES)),HIGHLAND AVE,LEHIGH ACRES,33972,-81.615338855600001,26.635940364000000
E 10TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 10TH ST,HINES AVE ((LEHIGH ACRES-LEHIGH ACRES)),HINES AVE,LEHIGH ACRES,33972,-81.566060134500006,26.636346902600000
E 10TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 10TH ST,HINES AVE ((LEHIGH ACRES-LEHIGH ACRES)),HINES AVE,LEHIGH ACRES,33972,-81.566038129999995,26.635551463399999
E 10TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 10TH ST,IRVING AVE ((LEHIGH ACRES-LEHIGH ACRES)),IRVING AVE,LEHIGH ACRES,33972,-81.570342891400003,26.636321966899999
E 10TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 10TH ST,JACKSON AVE ((LEHIGH ACRES-LEHIGH ACRES)),JACKSON AVE,LEHIGH ACRES,33972,-81.590377849800007,26.636244711400000
E 10TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 10TH ST,JAMES AVE ((LEHIGH ACRES-LEHIGH ACRES)),JAMES AVE,LEHIGH ACRES,33936,-81.601026195499998,26.636176315600000
E 10TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 10TH ST,JEFFERSON AVE ((LEHIGH ACRES-LEHIGH ACRES)),JEFFERSON AVE,LEHIGH ACRES,33936,-81.594669108000005,26.636225868400000
E 10TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 10TH ST,JOEL BLVD ((LEHIGH ACRES-LEHIGH ACRES)),JOEL BLVD,LEHIGH ACRES,33936,-81.598125781400000,26.636224055600000
E 10TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 10TH ST,JOHNS AVE ((LEHIGH ACRES-LEHIGH ACRES)),JOHNS AVE,LEHIGH ACRES,33972,-81.580358708999995,26.636284699400001
E 10TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 10TH ST,LAKE AVE ((LEHIGH ACRES-LEHIGH ACRES)),LAKE AVE,LEHIGH ACRES,33972,-81.618199872500000,26.635885482500001
E 10TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 10TH ST,LEROY AVE ((LEHIGH ACRES-LEHIGH ACRES)),LEROY AVE,LEHIGH ACRES,33972,-81.578926004099998,26.636283857100000
E 10TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 10TH ST,LINCOLN AVE ((LEHIGH ACRES-LEHIGH ACRES)),LINCOLN AVE,LEHIGH ACRES,33972,-81.622492299200005,26.635803449499999
E 10TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 10TH ST,LOUIS AVE ((LEHIGH ACRES-LEHIGH ACRES)),LOUIS AVE,LEHIGH ACRES,33972,-81.573201596800004,26.636308127300001
E 10TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 10TH ST,MAPLE AVE N ((LEHIGH ACRES-LEHIGH ACRES)),MAPLE AVE N,LEHIGH ACRES,33972,-81.616769292800001,26.635913157200001
E 10TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 10TH ST,MCARTHUR AVE ((LEHIGH ACRES-LEHIGH ACRES)),MCARTHUR AVE,LEHIGH ACRES,33972,-81.591798780500000,26.636242492699999
E 10TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 10TH ST,MCKINLEY AVE ((LEHIGH ACRES-LEHIGH ACRES)),MCKINLEY AVE,LEHIGH ACRES,33972,-81.629643074800001,26.635659065599999
E 10TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 10TH ST,MICHAEL AVE ((LEHIGH ACRES-LEHIGH ACRES)),MICHAEL AVE,LEHIGH ACRES,33936,-81.602464138800002,26.636148846000001
E 10TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 10TH ST,MONROE AVE ((LEHIGH ACRES-LEHIGH ACRES)),MONROE AVE,LEHIGH ACRES,33972,-81.577496869900003,26.636291743499999
E 10TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 10TH ST,MOORE AVE ((LEHIGH ACRES-LEHIGH ACRES)),MOORE AVE,LEHIGH ACRES,33972,-81.574628005199997,26.636308121199999
E 10TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 10TH ST,NORTH AVE ((LEHIGH ACRES-LEHIGH ACRES)),NORTH AVE,LEHIGH ACRES,33972,-81.613909572799997,26.635969422399999
E 10TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 10TH ST,RICHMOND AVE N ((LEHIGH ACRES-LEHIGH ACRES)),RICHMOND AVE N,LEHIGH ACRES,33972,-81.625360135999998,26.635748911299999
E 10TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 10TH ST,ROBERT AVE ((LEHIGH ACRES-LEHIGH ACRES)),ROBERT AVE,LEHIGH ACRES,33936,-81.596096590900004,26.636224299700000
E 10TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 10TH ST,ROOSEVELT AVE ((LEHIGH ACRES-LEHIGH ACRES)),ROOSEVELT AVE,LEHIGH ACRES,33936,-81.593230993199995,26.636234269199999
E 10TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 10TH ST,SCOTT AVE ((LEHIGH ACRES-LEHIGH ACRES)),SCOTT AVE,LEHIGH ACRES,33972,-81.576065023200002,26.636301699699999
E 10TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 10TH ST,SHELDON AVE ((LEHIGH ACRES-LEHIGH ACRES)),SHELDON AVE,LEHIGH ACRES,33972,-81.603897973399995,26.636127029499999
E 10TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 10TH ST,THOMPSON AVE ((LEHIGH ACRES-LEHIGH ACRES)),THOMPSON AVE,LEHIGH ACRES,33972,-81.612468160800006,26.635993776999999
E 10TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 10TH ST,TRUMAN AVE ((LEHIGH ACRES-LEHIGH ACRES)),TRUMAN AVE,LEHIGH ACRES,33972,-81.584650620399998,26.636264337499998
E 10TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 10TH ST,WASHINGTON AVE ((LEHIGH ACRES-LEHIGH ACRES)),WASHINGTON AVE,LEHIGH ACRES,33972,-81.611050565699998,26.636015889500001
E 10TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 10TH ST,WELLINGTON AVE ((LEHIGH ACRES-LEHIGH ACRES)),WELLINGTON AVE,LEHIGH ACRES,33972,-81.581786344999998,26.636277599400000
E 10TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 10TH ST,WELLS AVE ((LEHIGH ACRES-LEHIGH ACRES)),WELLS AVE,LEHIGH ACRES,33972,-81.571769712899993,26.636317535600000
E 11TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 11TH ST,EDWARD AVE ((LEHIGH ACRES-LEHIGH ACRES)),EDWARD AVE,LEHIGH ACRES,33936,-81.597579597600003,26.639800922700001
E 11TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 11TH ST,EIGHTH AVE ((LEHIGH ACRES-LEHIGH ACRES)),EIGHTH AVE,LEHIGH ACRES,33972,-81.619767919300003,26.639442258500001
E 11TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 11TH ST,FIFTH AVE ((LEHIGH ACRES-LEHIGH ACRES)),FIFTH AVE,LEHIGH ACRES,33972,-81.624049426799999,26.639354510099999
E 11TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 11TH ST,FITCH AVE ((LEHIGH ACRES-LEHIGH ACRES)),FITCH AVE,LEHIGH ACRES,33972,-81.567530978799994,26.639918773400002
E 11TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 11TH ST,GERALD AVE ((LEHIGH ACRES-LEHIGH ACRES)),GERALD AVE,LEHIGH ACRES,33936,-81.599735299599999,26.639772239700001
E 11TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 11TH ST,GLENN AVE ((LEHIGH ACRES-LEHIGH ACRES)),GLENN AVE,LEHIGH ACRES,33972,-81.605453101799995,26.639689832900000
E 11TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 11TH ST,GRANT AVE ((LEHIGH ACRES-LEHIGH ACRES)),GRANT AVE,LEHIGH ACRES,33972,-81.583262332000004,26.639852963500001
E 11TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 11TH ST,GREENWOOD AVE ((LEHIGH ACRES-LEHIGH ACRES)),GREENWOOD AVE,LEHIGH ACRES,33972,-81.621195585600006,26.639408814700001
E 11TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 11TH ST,HAMILTON AVE ((LEHIGH ACRES-LEHIGH ACRES)),HAMILTON AVE,LEHIGH ACRES,33972,-81.588995928299994,26.639833833800001
E 11TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 11TH ST,HIGHLAND AVE ((LEHIGH ACRES-LEHIGH ACRES)),HIGHLAND AVE,LEHIGH ACRES,33972,-81.615479673600007,26.639521474599999
E 11TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 11TH ST,HINES AVE ((LEHIGH ACRES-LEHIGH ACRES)),HINES AVE,LEHIGH ACRES,33972,-81.566094065100003,26.639929848900000
E 11TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 11TH ST,IRVING AVE ((LEHIGH ACRES-LEHIGH ACRES)),IRVING AVE,LEHIGH ACRES,33972,-81.570391230699997,26.639907896699999
E 11TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 11TH ST,JACKSON AVE ((LEHIGH ACRES-LEHIGH ACRES)),JACKSON AVE,LEHIGH ACRES,33972,-81.590423295099995,26.639825965299998
E 11TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 11TH ST,JAMES AVE ((LEHIGH ACRES-LEHIGH ACRES)),JAMES AVE,LEHIGH ACRES,33936,-81.601167191499997,26.639748561099999
E 11TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 11TH ST,JEFFERSON AVE ((LEHIGH ACRES-LEHIGH ACRES)),JEFFERSON AVE,LEHIGH ACRES,33936,-81.594715099100000,26.639813905699999
E 11TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 11TH ST,JOEL BLVD ((LEHIGH ACRES-LEHIGH ACRES)),JOEL BLVD,LEHIGH ACRES,33936,-81.598180084299997,26.639794851400001
E 11TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 11TH ST,JOHNS AVE ((LEHIGH ACRES-LEHIGH ACRES)),JOHNS AVE,LEHIGH ACRES,33972,-81.580406348500006,26.639858319799998
E 11TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 11TH ST,LAKE AVE ((LEHIGH ACRES-LEHIGH ACRES)),LAKE AVE,LEHIGH ACRES,33972,-81.618341350799994,26.639465182999999
E 11TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 11TH ST,LEROY AVE ((LEHIGH ACRES-LEHIGH ACRES)),LEROY AVE,LEHIGH ACRES,33972,-81.578970032300006,26.639870122100000
E 11TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 11TH ST,LINCOLN AVE ((LEHIGH ACRES-LEHIGH ACRES)),LINCOLN AVE,LEHIGH ACRES,33972,-81.622623309700003,26.639385419700002
E 11TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 11TH ST,LOUIS AVE ((LEHIGH ACRES-LEHIGH ACRES)),LOUIS AVE,LEHIGH ACRES,33972,-81.573248456900004,26.639892612000001
E 11TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 11TH ST,MAPLE AVE N ((LEHIGH ACRES-LEHIGH ACRES)),MAPLE AVE N,LEHIGH ACRES,33972,-81.616912649300005,26.639489998100000
E 11TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 11TH ST,MCARTHUR AVE ((LEHIGH ACRES-LEHIGH ACRES)),MCARTHUR AVE,LEHIGH ACRES,33972,-81.591856460100004,26.639824900800001
E 11TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 11TH ST,MCKINLEY AVE ((LEHIGH ACRES-LEHIGH ACRES)),MCKINLEY AVE,LEHIGH ACRES,33972,-81.629785145300005,26.639239514600000
E 11TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 11TH ST,MICHAEL AVE ((LEHIGH ACRES-LEHIGH ACRES)),MICHAEL AVE,LEHIGH ACRES,33936,-81.602605130399994,26.639742834600000
E 11TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 11TH ST,MONROE AVE ((LEHIGH ACRES-LEHIGH ACRES)),MONROE AVE,LEHIGH ACRES,33972,-81.577546484099997,26.639878508900001
E 11TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 11TH ST,MOORE AVE ((LEHIGH ACRES-LEHIGH ACRES)),MOORE AVE,LEHIGH ACRES,33972,-81.574683114500004,26.639895859900001
E 11TH ST ((LEHIGH ACRES-LEHIGH ACRES)),E 11TH ST,NORTH AVE ((LEHIGH ACRES-LEHIGH ACRES)),NORTH AVE,LEHIGH ACRES,33972,-81.614040113300007,26.639545857900000
